Название,Характеристики,Цена,Страрая цена 
"Смартфон DIGMA Linx Joy 3G, темно-серый "," Код: 1064090; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: Spreadtrum MT6580M, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 4Гб ", 2990 руб.,-
"Смартфон XIAOMI Redmi 5 plus 64Gb, розовый "," Код: 1128290; ОС Android 7.1, экран: 5.99"", IPS, 2160×1080, процессор: Qualcomm Snapdragon 625, 2000МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, в режиме ожидания, до: 408ч, чехол в комплекте, оперативная память: 4Гб, встроенная память: 64Гб ", 12 900 руб.,-
"Смартфон HUAWEI Mate 20 128Gb, синий "," Код: 1103169; ОС Android 9, экран: 6.53"", LCD, 2244×1080, процессор: Kirin 980, 2600МГц, 8-ми ядерный, камера: 16Мп, GPS, ГЛОНАСС, оперативная память: 6Гб, встроенная память: 128Гб ", 39 990 руб.,-
"Смартфон SAMSUNG Galaxy A9 (2018) 128Gb, SM-A920F, синий "," Код: 1096907; ОС Android 8.1, экран: 6.3"", Super AMOLED, 2220×1080, процессор: Qualcomm Snapdragon 660, 2200МГц, 8-ми ядерный, камера: 24Мп, GPS, ГЛОНАСС, время работы в режиме разговора, до: 23ч, оперативная память: 6Гб, встроенная память: 128Гб ", 29 990 руб.,-
Смартфон HUAWEI Nova 3 черный ," Код: 1082336; ОС Android 8.1, экран: 6.3"", LTPS, 2340×1080, процессор: Kirin 970, 2360МГц, 8-ми ядерный, камера: 24Мп, GPS, ГЛОНАСС, оперативная память: 4Гб, встроенная память: 128Гб ", 26 990 руб.,-
Смартфон VERTEX Impress черный ," Код: 1099297; ОС Android 7.0, экран: 5"", TN, 854×484, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 7ч, в режиме ожидания, до: 240ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3490 руб.,-
"Смартфон XIAOMI Pocophone F1 64Gb, синий "," Код: 1096332; ОС Android 8.1, экран: 6.18"", IPS, 2246×1080, процессор: Qualcomm Snapdragon 845, 2800МГц, 8-ми ядерный, камера: 12Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 6Гб, встроенная память: 64Гб ", 21 990 руб.,-
"Смартфон SONY Xperia XA1 Ultra Dual Sim 32Gb, G3212, белый "," Код: 1109402; ОС Android 7.0, экран: 6"", IPS, 1920×1080, процессор: MediaTek Helio P20, 2300МГц, 8-ми ядерный, камера: 23Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 13ч, в режиме ожидания, до: 700ч, оперативная память: 4Гб, встроенная память:... ", 12 990 руб.,-
"Смартфон ZTE Blade A6, черный "," Код: 1013241; ОС Android 7.1, экран: 5.2"", IPS, 1280×720, процессор: Qualcomm Snapdragon 435, 1400МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 9990 руб.,-
"Смартфон XIAOMI Redmi Note 6 Pro 32Gb, черный "," Код: 1096873; ОС Android 8.1, экран: 6.26"", IPS, 2280×1080, процессор: Qualcomm Snapdragon 636, 1800МГц, 8-ми ядерный, камера: 12Мп, FM-радио, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 3Гб, встроенная память: 32Гб ", 13 490 руб., 14 990 руб.
"Смартфон HUAWEI Y6 Prime (2018) 16Gb, черный "," Код: 1068160; ОС Android 8.0, экран: 5.7"", 1440×720, процессор: Qualcomm MSM8917, 1400МГц, 4-х ядерный, камера: 13Мп, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 8770 руб.,-
"Смартфон MOTOROLA C 3G 8Gb, XT1750, черный "," Код: 483719; ОС Android 7.0, экран: 5"", TN, 854×480, процессор: MediaTek MT6580m, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 106ч, в режиме ожидания, до: 340ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3990 руб.,-
"Смартфон XIAOMI Mi 8 Lite 64Gb, черный "," Код: 1107802; ОС Android 8.1, экран: 6.26"", IPS, 2280×1080, процессор: Qualcomm Snapdragon 660, 2200МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 4Гб, встроенная память: 64Гб ", 17 990 руб.,-
"Смартфон ZTE Blade V9 32Gb, черный "," Код: 1088853; ОС Android 8.1, экран: 5.7"", IPS, 2160×1080, процессор: Qualcomm Snapdragon 450, 1800МГц, 8-ми ядерный, камера: 16Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 8ч, в режиме ожидания, до: 200ч, оперативная память: 3Гб, встроенная... ", 11 490 руб.,-
"Смартфон XIAOMI Redmi 7 32Gb, черный "," Код: 1136858; ОС Android 9, экран: 6.26"", LCD, 1520×720, процессор: Qualcomm Snapdragon 632, 1800МГц, 8-ми ядерный, камера: 12Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 11 990 руб.,-
"Смартфон MEIZU M6 Note 16Gb, M721H, черный "," Код: 1023599; ОС Android 7.1, экран: 5.5"", IPS, 1920×1080, процессор: Qualcomm Snapdragon 625, 2000МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 16Гб ", 9990 руб.,-
"Смартфон DIGMA Linx Pay 4G, красный "," Код: 1068563; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: MT6739, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 7ч, в режиме ожидания, до: 150ч, оперативная память: 2Гб, встроенная память: 16Гб ", 5190 руб., 6990 руб.
"Смартфон XIAOMI Redmi 6A 32Gb, голубой "," Код: 1087560; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: Mediatek Helio A22, 2000МГц, 4-х ядерный, камера: 13Мп, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 32Гб ", 8490 руб.,-
"Смартфон NOKIA 1 8Gb, синий "," Код: 1110558; ОС Android 8.1, экран: 4.5"", IPS, 854×480, процессор: MediaTek MT6737M, 1100МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 9ч, в режиме ожидания, до: 360ч, оперативная память: 1Гб, встроенная память: 8Гб ", 4990 руб.,-
"Смартфон ZTE Blade A6 MAX, синий "," Код: 1068526; ОС Android 7.1, экран: 5.5"", TFT, 1280×720, процессор: Qualcomm MSM8909, 1100МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 5990 руб.,-
"Смартфон ALCATEL 1 5033D, черный "," Код: 1070315; ОС Android 8.0, экран: 5"", 960×480, процессор: MediaTek MT6739, 1280МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 16ч, в режиме ожидания, до: 350ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3970 руб.,-
"Смартфон SAMSUNG Galaxy A20 32Gb, SM-A205F, черный "," Код: 1137339; ОС Android 9, экран: 6.4"", Super AMOLED, 1560×720, процессор: Exynos 7884B, 1600МГц, 8-ми ядерный, камера: 13Мп, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 13 990 руб.,-
"Смартфон HUAWEI P30 lite 128Gb, синий "," Код: 1136879; ОС Android 9, экран: 6.15"", LTPS, 2312×1080, процессор: Kirin 710, 2200МГц, 8-ми ядерный, камера: 24Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 4Гб, встроенная память: 128Гб ", 21 990 руб.,-
"Смартфон SAMSUNG Galaxy J6+ (2018) 32Gb, SM-J610F, красный "," Код: 1089324; ОС Android 8.1, экран: 6"", TFT, 1480×720, процессор: 1400МГц, 4-х ядерный, камера: 13Мп, GPS, ГЛОНАСС, время работы в режиме разговора, до: 23ч, оперативная память: 3Гб, встроенная память: 32Гб ", 11 990 руб.,-
"Смартфон HONOR 10 Lite 64Gb, черный "," Код: 1121276; ОС Android 9, экран: 6.21"", LTPS, 2340×1080, процессор: Kirin 710, 2200МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 3Гб, встроенная память: 64Гб ", 16 990 руб.,-
"Смартфон GINZZU S5002, черный "," Код: 1130621; ОС Android 7.0, экран: 5"", IPS, 1280×720, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 10ч, в режиме ожидания, до: 50ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3490 руб.,-
"Смартфон HONOR 7С 32Gb, золотистый "," Код: 1075503; ОС Android 8.0, экран: 5.7"", 1440×720, процессор: Qualcomm MSM8937, 1400МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 10 990 руб.,-
"Смартфон HUAWEI Mate 20 Lite 64Gb, синий "," Код: 1090197; ОС Android 8.1, экран: 6.3"", IPS, 2340×1080, процессор: Kirin 710, 2200МГц, 8-ми ядерный, камера: 20Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 23ч, в режиме ожидания, до: 500ч, оперативная память: 4Гб, встроенная память: 64Гб ", 16 990 руб., 19 990 руб.
"Смартфон NOKIA 5.1 Plus 32Gb, черный "," Код: 1102662; ОС Android 8.1, экран: 5.8"", IPS, 1520×720, процессор: Helio P60, 1800МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 12 880 руб.,-
"Смартфон XIAOMI Redmi 5 plus 64Gb, синий "," Код: 1052285; ОС Android 7.1, экран: 5.99"", IPS, 2160×1080, процессор: Qualcomm Snapdragon 625, 2000МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, в режиме ожидания, до: 408ч, оперативная память: 4Гб, встроенная память: 64Гб ", 15 390 руб.,-
"Смартфон HUAWEI Y5 Prime 2018 16Gb, черный "," Код: 1079357; ОС Android 8.0, экран: 5.45"", TFT, 1440×720, процессор: MediaTek MT6739, 1500МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб., 7470 руб.
Смартфон VERTEX Impress Blade золотистый ," Код: 1097372; ОС Android 8.1, экран: 5.5"", IPS, 1920×1080, процессор: MediaTek MT6750, , 8-ми ядерный, камера: 16Мп, FM-радио, GPS, время работы в режиме разговора, до: 20ч, в режиме ожидания, до: 96ч, оперативная память: 2Гб, встроенная память: 16Гб ", 6490 руб.,-
"Смартфон MEIZU M8c M810H, черный "," Код: 1069752; ОС Android 7.0, экран: 5.45"", IPS, 1440×720, процессор: Qualcomm Snapdragon 425, 1400МГц, 4-х ядерный, камера: 13Мп, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 6890 руб.,-
"Смартфон ASUS Zenfone 5 64Gb, ZE620KL, черный "," Код: 1054740; ОС Android 8.0, экран: 6.2"", Super IPS+, 2246×1080, процессор: Qualcomm Snapdragon 636, , 8-ми ядерный, камера: 12Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 4Гб, встроенная память: 64Гб ", 19 989 руб.,-
"Смартфон HUAWEI P smart 32Gb, золотистый "," Код: 1050329; ОС Android 8.0, экран: 5.65"", LCD, 2160×1080, процессор: Kirin 659, 2360МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 10 990 руб.,-
"Смартфон XIAOMI Redmi 6 32Gb, голубой "," Код: 1083250; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: MediaTek Helio P22, 2000МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 8990 руб., 9990 руб.
"Смартфон XIAOMI Mi 8 64Gb, черный "," Код: 1091284; ОС Android 8.1, экран: 6.21"", AMOLED, 2248×1080, процессор: Qualcomm Snapdragon 845, 2800МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 6Гб, встроенная память: 64Гб ", 28 990 руб.,-
"Смартфон XIAOMI Redmi 6 3/64Gb, золотистый "," Код: 1106141; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: MediaTek Helio P22, 2000МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 64Гб ", 10 670 руб., 11 990 руб.
"Смартфон HUAWEI Y7 (2019) 32Gb, синий "," Код: 1129829; ОС Android 8.1, экран: 6.26"", IPS, 1520×720, процессор: Qualcomm Snapdragon 450, 1800МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 51ч, в режиме ожидания, до: 51ч, чехол в комплекте, оперативная память:... ", 12 990 руб.,-
"Смартфон HONOR 7A Pro 16Gb, золотистый "," Код: 1068758; ОС Android 8.0, экран: 5.7"", IPS, 1440×720, процессор: Qualcomm MSM8937, 1400МГц, 8-ми ядерный, камера: 13Мп, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 8970 руб.,-
"Смартфон DIGMA HIT 8Gb, Q401 3G, красный "," Код: 1013095; ОС Android 7.0, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2690 руб.,-
Смартфон PRESTIGIO Wize Y3 черный ," Код: 1107986; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2790 руб.,-
"Смартфон HUAWEI Mate 20 Lite 64Gb, черный "," Код: 1090744; ОС Android 8.1, экран: 6.3"", IPS, 2340×1080, процессор: Kirin 710, 2200МГц, 8-ми ядерный, камера: 20Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 23ч, в режиме ожидания, до: 500ч, оперативная память: 4Гб, встроенная память: 64Гб ", 16 990 руб., 19 990 руб.
"Смартфон SAMSUNG Galaxy S10 128Gb, SM-G973F, белый/перламутр "," Код: 1124185; ОС Android 9, экран: 6.1"", AMOLED, 2960×1440, процессор: Exynos 9820, , 8-ми ядерный, камера: 16Мп, GPS, ГЛОНАСС, с защитой от пыли и влаги, оперативная память: 8Гб, встроенная память: 128Гб ", 68 990 руб.,-
"Смартфон FLY Stratus 8 FS408, черный "," Код: 1025142; ОС Android 6.0, экран: 4"", TN, 854×480, процессор: MediaTek MT6570, 1300МГц, 2-х ядерный, камера: 2Мп, FM-радио, время работы в режиме разговора, до: 5ч, в режиме ожидания, до: 280ч, оперативная память: 512Мб, встроенная память: 8Гб ", 1990 руб., 2190 руб.
"Смартфон HUAWEI Y6 (2019) 32Gb, коричневый "," Код: 1129854; ОС Android 9.0, экран: 6.09"", IPS, 1560×720, процессор: MediaTek MT6761, 2000МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 22ч, в режиме ожидания, до: 22ч, оперативная память: 2Гб, встроенная память:... ", 9490 руб.,-
"Смартфон DIGMA A453 3G Linx, серый "," Код: 1012636; ОС Android 7.0, экран: 4.5"", TFT, 854×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2890 руб., 3190 руб.
"Смартфон BQ Strike Forward 16Gb, 5512L, черный "," Код: 1105489; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: MediaTek МТ6739WW, 1500МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб.,-
"Смартфон HONOR View 20 128Gb, черный "," Код: 1123397; ОС Android 9, экран: 6.4"", LTPS, 2310×1080, процессор: Kirin 980, 2200МГц, 8-ми ядерный, камера: 48Мп, GPS, ГЛОНАСС, время работы в режиме разговора, до: 25ч, чехол в комплекте, оперативная память: 6Гб, встроенная память: 128Гб ", 37 990 руб.,-
"Смартфон HONOR 8C 32Gb, черный "," Код: 1104959; ОС Android 8.1, экран: 6.26"", IPS, 1520×720, процессор: Qualcomm Snapdragon 632, 1800МГц, 8-ми ядерный, камера: 13Мп, GPS, ГЛОНАСС, время работы в режиме разговора, до: 33ч, в режиме ожидания, до: 790ч, оперативная память: 3Гб, встроенная память:... ", 12 990 руб.,-
"Смартфон XIAOMI Mi 8 128Gb, черный "," Код: 1091288; ОС Android 8.1, экран: 6.21"", AMOLED, 2248×1080, процессор: Qualcomm Snapdragon 845, 2800МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, оперативная память: 6Гб, встроенная память: 128Гб ", 29 990 руб.,-
Смартфон ARK Brown 1 коричневый ," Код: 1110429; ОС Android 7.0, экран: 4.7"", IPS, 1280×720, процессор: MediaTek MT6735, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 4ч, в режиме ожидания, до: 7ч, чехол в комплекте, оперативная память: 2Гб, встроенная... ", 4790 руб.,-
"Смартфон ASUS ZenFone Max Pro M1 128Gb, ZB602KL, серебристый "," Код: 1077972; ОС Android 8.1, экран: 6"", IPS, 2160×1080, процессор: Qualcomm Snapdragon 636, , 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 42ч, в режиме ожидания, до: 840ч, оперативная память: 4Гб, встроенная память:... ", 15 990 руб.,-
"Смартфон ZTE Blade V9 Vita 16Gb, черный "," Код: 1088843; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: Qualcomm Snapdragon 435, 1400МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 8ч, в режиме ожидания, до: 150ч, оперативная память: 2Гб, встроенная... ", 8490 руб.,-
"Смартфон DIGMA HIT 8Gb, Q401 3G, черный "," Код: 1013092; ОС Android 7.0, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2690 руб.,-
"Смартфон SAMSUNG Galaxy J4+ (2018) 32Gb, SM-J415F, золотистый "," Код: 1089328; ОС Android 8.1, экран: 6"", TFT, 1480×720, процессор: 1400МГц, 4-х ядерный, камера: 13Мп, GPS, ГЛОНАСС, время работы в режиме разговора, до: 23ч, оперативная память: 3Гб, встроенная память: 32Гб ", 9990 руб.,-
"Смартфон SAMSUNG Galaxy J6 (2018) 32Gb, SM-J600, серый "," Код: 1067354; ОС Android 8.0, экран: 5.6"", Super AMOLED, 1480×720, процессор: 1600МГц, 8-ми ядерный, камера: 13Мп, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 10 990 руб.,-
"Смартфон HUAWEI Y7 (2019) 32Gb, черный "," Код: 1129832; ОС Android 8.1, экран: 6.26"", IPS, 1520×720, процессор: Qualcomm Snapdragon 450, 1800МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 51ч, в режиме ожидания, до: 51ч, чехол в комплекте, оперативная память:... ", 12 990 руб.,-
"Смартфон DIGMA Linx Trix 4G, темно-коричневый "," Код: 1049931; ОС Android 8.1, экран: 5.5"", IPS, 1440×720, процессор: Spreadtrum SC9850KL, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 6490 руб.,-
Смартфон PRESTIGIO Grace P7 LTE синий ," Код: 1084513; ОС Android 7.0, экран: 5.7"", IPS, 1440×720, процессор: MediaTek MT6737, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 6600 руб.,-
Смартфон PRESTIGIO Grace P7 LTE золотистый ," Код: 1084516; ОС Android 7.0, экран: 5.7"", IPS, 1440×720, процессор: MediaTek MT6737, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 6600 руб.,-
"Смартфон BQ Strike Selfie Max 16Gb, 5504, золотистый "," Код: 1122401; ОС Android 7.0, экран: 5.5"", IPS, 1280×720, процессор: MediaTek MT6737, 1300МГц, 4-х ядерный, камера: 16Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 16Гб ", 6640 руб., 6990 руб.
"Смартфон ALCATEL 3L 5034D, золотистый металлик "," Код: 1055160; ОС Android 8.0, экран: 5.5"", IPS, 1440×720, процессор: MediaTek MT6739, , 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 25ч, в режиме ожидания, до: 460ч, оперативная память: 2Гб, встроенная память: 16Гб ", 6680 руб.,-
"Смартфон GINZZU S5510, черный "," Код: 395855; ОС Android 6.0, экран: 5.5"", 1280×720, процессор: MediaTek MTK6735P, 1000МГц, 4-х ядерный, камера: 13Мп, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 6800 руб.,-
"Смартфон MEIZU M8c M810H, черный "," Код: 1069752; ОС Android 7.0, экран: 5.45"", IPS, 1440×720, процессор: Qualcomm Snapdragon 425, 1400МГц, 4-х ядерный, камера: 13Мп, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 6890 руб.,-
Смартфон VERTEX Impress Fire синий ," Код: 1097376; ОС Android 8.1, экран: 5.7"", IPS, 1440×720, процессор: MediaTek MT6739, 1500МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 4ч, в режиме ожидания, до: 320ч, оперативная память: 2Гб, встроенная память: 16Гб ", 6899 руб.,-
"Смартфон HUAWEI Y5 Lite 16Gb, синий "," Код: 1098382; ОС Android 8.1, экран: 5.45"", TFT, 1440×720, процессор: MediaTek MT6739, 1500МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 33ч, в режиме ожидания, до: 691ч, оперативная память: 1Гб, встроенная память:... ", 6970 руб.,-
"Смартфон HUAWEI Y5 Lite 16Gb, черный "," Код: 1098383; ОС Android 8.1, экран: 5.45"", TFT, 1440×720, процессор: Mediatek MT6739, 1500МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 33ч, в режиме ожидания, до: 691ч, оперативная память: 1Гб, встроенная память:... ", 6970 руб.,-
Смартфон VERTEX Impress Cube черный ," Код: 1097375; ОС Android 8.1, экран: 6"", IPS, 1440×720, процессор: MediaTek MT6739, 1500МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, в режиме ожидания, до: 360ч, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб., 7490 руб.
"Смартфон SAMSUNG Galaxy J1 (2016) 8Gb, SM-J120F, черный "," Код: 356567; ОС Android 5.1, экран: 4.5"", Super AMOLED, 800×480, процессор: Samsung Exynos 3475, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 12ч, оперативная память: 1Гб, встроенная память: 8Гб ", 6990 руб.,-
"Смартфон NOKIA 1 plus 8Gb, черный "," Код: 1133733; ОС Android 9, экран: 5.45"", IPS, 960×480, процессор: MediaTek MT6739WW, 1500МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 12.7ч, оперативная память: 1Гб, встроенная память: 8Гб ", 6990 руб., 7990 руб.
"Смартфон NOKIA 1 plus 8Gb, синий "," Код: 1133742; ОС Android 9, экран: 5.45"", IPS, 960×480, процессор: MediaTek MT6739WW, 1500МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 12.7ч, оперативная память: 1Гб, встроенная память: 8Гб ", 6990 руб., 7990 руб.
"Смартфон BQ Strike Forward 16Gb, 5512L, черный "," Код: 1105489; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: MediaTek МТ6739WW, 1500МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб.,-
"Смартфон VERTEX Impress Vira 16Gb, золотистый "," Код: 1130521; ОС Android 8.1, экран: 5.5"", IPS, 1280×640, процессор: MediaTek MT6739WW, 1500МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, время работы в режиме разговора, до: 6ч, в режиме ожидания, до: 200ч, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб.,-
"Смартфон VERTEX Impress Vira 16Gb, черный "," Код: 1130523; ОС Android 8.1, экран: 5.5"", IPS, 1280×640, процессор: MediaTek MT6739WW, 1500МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, время работы в режиме разговора, до: 6ч, в режиме ожидания, до: 200ч, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб.,-
"Смартфон BQ Strike Forward 16Gb, 5512L, золотистый "," Код: 1107283; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: MediaTek МТ6739WW, 1500МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб.,-
"Смартфон SAMSUNG Galaxy J1 (2016) 8Gb, SM-J120F, золотистый "," Код: 356568; ОС Android 5.1, экран: 4.5"", Super AMOLED, 800×480, процессор: Samsung Exynos 3475, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 12ч, оперативная память: 1Гб, встроенная память: 8Гб ", 6990 руб.,-
"Смартфон HUAWEI Y5 Prime 2018 16Gb, черный "," Код: 1079357; ОС Android 8.0, экран: 5.45"", TFT, 1440×720, процессор: MediaTek MT6739, 1500МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб., 7470 руб.
"Смартфон HUAWEI Y5 Prime 2018 16Gb, золотистый "," Код: 1069322; ОС Android 8.0, экран: 5.45"", TFT, 1440×720, процессор: MediaTek MT6739, 1500МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб., 7470 руб.
"Смартфон ALCATEL 3L 5034D, синий металлик "," Код: 1055156; ОС Android 8.0, экран: 5.5"", IPS, 1440×720, процессор: MediaTek MT6739, , 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 25ч, в режиме ожидания, до: 460ч, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб.,-
"Смартфон HUAWEI Y5 Prime 2018 16Gb, синий "," Код: 1079358; ОС Android 8.0, экран: 5.45"", TFT, 1440×720, процессор: MediaTek MT6739, 1500МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 6990 руб., 7470 руб.
